host_time,port,source,frames,samples,bps,lost,dup,bad,seq,first,last,sent,ipc_rx,queued,q_drop,ipc_bad_size,ipc_bad_magic,rf_ok,rf_fail,rf_timeout,rf_err,rf_evt,rf_frames,rf_read_err,attempts,mac_cnt,mac_last_us,mac_min_us,mac_avg_us,mac_max_us,lp_stage,lp_loop,lp_seq,lp_ok,lp_busy,lp_fail,lp_ret,raw
2026-04-24T14:01:54.638,COM7,rx,3290438,315882048,800256,30242,1301,0,42578,3776,3871,,,,,,,,,,,3290438,3290438,0,,,,,,,,,,,,,,RX stat frames=3290438 samples=315882048 bps=800256 lost=30242 dup=1301 bad=0 rf_evt=3290438 rf_frames=3290438 rf_read_err=0 seq=42578 first=3776 last=3871
2026-04-24T14:01:55.645,COM7,rx,3290966,315932736,800256,30242,1301,0,43106,1216,1311,,,,,,,,,,,3290966,3290966,0,,,,,,,,,,,,,,RX stat frames=3290966 samples=315932736 bps=800256 lost=30242 dup=1301 bad=0 rf_evt=3290966 rf_frames=3290966 rf_read_err=0 seq=43106 first=1216 last=1311
2026-04-24T14:01:56.658,COM7,rx,3291489,315982944,800256,30242,1301,0,43629,2272,2367,,,,,,,,,,,3291489,3291489,0,,,,,,,,,,,,,,RX stat frames=3291489 samples=315982944 bps=800256 lost=30242 dup=1301 bad=0 rf_evt=3291489 rf_frames=3291489 rf_read_err=0 seq=43629 first=2272 last=2367
2026-04-24T14:01:57.679,COM7,rx,3292010,316032960,800256,30242,1301,0,44150,3136,3231,,,,,,,,,,,3292010,3292010,0,,,,,,,,,,,,,,RX stat frames=3292010 samples=316032960 bps=800256 lost=30242 dup=1301 bad=0 rf_evt=3292010 rf_frames=3292010 rf_read_err=0 seq=44150 first=3136 last=3231
2026-04-24T14:01:58.692,COM7,rx,3292539,316083744,798720,30243,1301,0,44680,768,863,,,,,,,,,,,3292539,3292539,0,,,,,,,,,,,,,,RX stat frames=3292539 samples=316083744 bps=798720 lost=30243 dup=1301 bad=0 rf_evt=3292539 rf_frames=3292539 rf_read_err=0 seq=44680 first=768 last=863
2026-04-24T14:01:59.700,COM7,rx,3293077,316135392,800256,30243,1301,0,45218,3264,3359,,,,,,,,,,,3293077,3293077,0,,,,,,,,,,,,,,RX stat frames=3293077 samples=316135392 bps=800256 lost=30243 dup=1301 bad=0 rf_evt=3293077 rf_frames=3293077 rf_read_err=0 seq=45218 first=3264 last=3359
2026-04-24T14:02:00.719,COM7,rx,3293604,316185984,798720,30244,1301,0,45746,704,799,,,,,,,,,,,3293604,3293604,0,,,,,,,,,,,,,,RX stat frames=3293604 samples=316185984 bps=798720 lost=30244 dup=1301 bad=0 rf_evt=3293604 rf_frames=3293604 rf_read_err=0 seq=45746 first=704 last=799
